H_ID,HA,ST_DATE,APT_TF,M2,PersonCount,PointName,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,total,클러스터,cos 클러스터
1,전력총합,2012-08-01,아파트,20평~29평,2인이하,전력총합,0.131,0.156,0.127,0.124,0.15,0.122,0.151,0.09699999999999999,0.11699999999999999,0.11199999999999999,0.098,0.12,0.09300000000000001,0.092,0.127,0.10400000000000001,0.105,0.114,0.128,0.657,1.55,1.165,0.18100000000000002,0.958,6.779,5,3
1,전력총합,2012-08-02,아파트,20평~29평,2인이하,전력총합,0.7290000000000001,0.098,0.11900000000000001,0.11199999999999999,0.095,0.111,0.126,0.096,0.12,0.145,0.182,0.129,0.105,0.11,0.126,0.094,0.121,0.1,0.109,0.12,0.099,0.131,0.685,1.255,5.116999999999999,5,3
1,전력총합,2012-08-03,아파트,20평~29평,2인이하,전력총합,1.496,0.552,0.14800000000000002,0.134,0.125,0.153,0.11800000000000001,0.134,0.11199999999999999,0.098,0.114,0.10300000000000001,0.095,0.125,0.11,0.102,0.107,0.109,0.107,0.129,0.105,0.126,0.115,0.7929999999999999,5.3100000000000005,5,3
1,전력총합,2012-08-04,아파트,20평~29평,2인이하,전력총합,1.328,0.25,0.196,0.207,0.16899999999999998,0.17600000000000002,0.149,0.14800000000000002,0.47700000000000004,0.8370000000000001,0.138,0.127,0.134,0.16699999999999998,0.114,0.16,0.262,0.2,0.214,0.23399999999999999,0.185,0.218,1.057,0.531,7.678000000000001,5,3
1,전력총합,2012-08-06,아파트,20평~29평,2인이하,전력총합,1.307,0.42700000000000005,0.141,0.139,0.13,0.138,0.155,0.16,0.122,0.11,0.113,0.10400000000000001,0.10800000000000001,0.121,0.10800000000000001,0.109,0.11900000000000001,0.114,0.11800000000000001,0.172,0.23,0.198,0.19399999999999998,1.17,5.8069999999999995,5,3
1,전력총합,2012-08-07,아파트,20평~29평,2인이하,전력총합,0.428,0.152,0.146,0.15,0.149,0.8,0.201,0.13699999999999998,0.11699999999999999,0.111,0.109,0.1,0.10800000000000001,0.122,0.107,0.10300000000000001,0.107,0.114,0.134,0.134,0.289,1.68,0.892,0.252,6.6419999999999995,5,3
1,전력총합,2012-08-08,아파트,20평~29평,2인이하,전력총합,0.865,1.198,0.218,0.171,0.14800000000000002,0.149,0.142,0.132,0.14,0.138,0.192,0.11199999999999999,0.107,0.106,0.11900000000000001,0.11199999999999999,0.129,0.11900000000000001,0.11800000000000001,0.10800000000000001,0.11699999999999999,0.106,0.13699999999999998,0.581,5.4639999999999995,5,3
1,전력총합,2012-08-09,아파트,20평~29평,2인이하,전력총합,1.255,0.226,0.495,0.665,0.09300000000000001,0.10800000000000001,0.10800000000000001,0.105,0.121,0.107,0.098,0.109,0.11599999999999999,0.11800000000000001,0.09699999999999999,0.11,0.098,0.107,0.11599999999999999,0.105,0.109,0.113,0.127,0.11699999999999999,4.8229999999999995,5,3
1,전력총합,2012-08-10,아파트,20평~29평,2인이하,전력총합,1.038,0.14,0.09699999999999999,0.125,0.10300000000000001,0.115,0.128,0.14400000000000002,0.11599999999999999,0.102,0.10800000000000001,0.11199999999999999,0.124,0.11599999999999999,0.10099999999999999,0.106,0.114,0.105,0.111,0.10400000000000001,0.12,0.11599999999999999,0.142,0.978,4.565,5,3
1,전력총합,2012-08-11,아파트,20평~29평,2인이하,전력총합,0.95,0.721,0.78,0.784,0.5379999999999999,0.146,0.21,0.239,0.645,0.28800000000000003,0.272,0.35,0.268,0.311,0.295,0.263,0.212,0.21899999999999997,0.317,0.361,0.27699999999999997,0.32,0.327,0.275,9.367999999999999,5,3
1,전력총합,2012-08-12,아파트,20평~29평,2인이하,전력총합,0.214,0.223,0.213,0.16399999999999998,0.16699999999999998,0.157,0.16399999999999998,0.157,0.184,0.19699999999999998,0.299,0.642,0.204,0.319,0.249,0.27399999999999997,0.264,0.32,0.306,0.28,0.366,0.32899999999999996,0.37,0.273,6.335,5,3
1,전력총합,2012-08-13,아파트,20평~29평,2인이하,전력총합,0.17600000000000002,0.22399999999999998,0.19,0.162,0.165,0.147,0.20199999999999999,0.205,0.268,0.284,0.24,0.282,0.174,0.165,0.213,0.174,0.151,0.182,0.184,0.247,0.287,0.276,0.287,0.293,5.178,5,3
1,전력총합,2012-08-14,아파트,20평~29평,2인이하,전력총합,0.193,0.163,0.254,0.177,0.163,0.171,0.149,0.304,0.24100000000000002,0.27399999999999997,0.14,0.16,0.125,0.161,0.145,0.204,0.182,0.209,0.255,0.215,0.225,0.255,0.265,0.228,4.8580000000000005,5,3
1,전력총합,2012-08-16,아파트,20평~29평,2인이하,전력총합,0.251,0.145,0.102,0.10099999999999999,0.113,0.11,0.11599999999999999,0.19,0.107,0.096,0.11199999999999999,0.106,0.094,0.1,0.10300000000000001,0.11199999999999999,0.09300000000000001,0.11199999999999999,0.095,0.439,0.268,0.231,0.264,0.174,3.634,5,3
1,전력총합,2012-08-17,아파트,20평~29평,2인이하,전력총합,0.177,0.157,0.153,0.129,0.136,0.115,0.111,0.152,0.11199999999999999,0.096,0.095,0.11199999999999999,0.10800000000000001,0.1,0.094,0.11199999999999999,0.10300000000000001,0.10099999999999999,0.095,0.126,0.109,0.17300000000000001,0.243,0.28300000000000003,3.192,5,3
1,전력총합,2012-08-19,아파트,20평~29평,2인이하,전력총합,0.263,0.163,0.14300000000000002,0.13,0.10800000000000001,0.109,0.11199999999999999,0.124,0.111,0.115,0.10800000000000001,0.11199999999999999,0.11,0.122,0.12300000000000001,0.11,0.11599999999999999,0.138,0.135,0.17300000000000001,0.19899999999999998,0.271,0.555,0.22699999999999998,3.877,5,3
